club,club_id,club_url,player_count,represented_countries,total_market_value_eur,player_count_rank
Al-Arabi SC,1230,https://www.transfermarkt.com/al-arabi-sc/startseite/verein/1230,3,1,700000,106
Trabzonspor,449,https://www.transfermarkt.com/trabzonspor/startseite/verein/449,2,2,34000000,152
Coventry City,990,https://www.transfermarkt.com/coventry-city/startseite/verein/990,2,2,32000000,152
Parma Calcio 1913,130,https://www.transfermarkt.com/parma-calcio-1913/startseite/verein/130,2,2,32000000,152
Zenit St. Petersburg,964,https://www.transfermarkt.com/zenit-st-petersburg/startseite/verein/964,2,1,31500000,152
Genoa CFC,252,https://www.transfermarkt.com/genua-cfc/startseite/verein/252,2,2,25000000,152
Red Bull Salzburg,409,https://www.transfermarkt.com/red-bull-salzburg/startseite/verein/409,2,2,24000000,152
CA Osasuna,331,https://www.transfermarkt.com/ca-osasuna/startseite/verein/331,2,2,23000000,152
CD Cruz Azul,3711,https://www.transfermarkt.com/cd-cruz-azul/startseite/verein/3711,2,2,17500000,152
RCD Mallorca,237,https://www.transfermarkt.com/rcd-mallorca/startseite/verein/237,2,2,16800000,152
Stoke City,512,https://www.transfermarkt.com/stoke-city/startseite/verein/512,2,2,16000000,152
FC Krasnodar,16704,https://www.transfermarkt.com/fk-krasnodar/startseite/verein/16704,2,2,15000000,152
Club Tijuana,13353,https://www.transfermarkt.com/club-tijuana/startseite/verein/13353,2,2,12500000,152
FC Nordsjaelland,2778,https://www.transfermarkt.com/fc-nordsjaelland/startseite/verein/2778,2,2,12500000,152
Girona FC,12321,https://www.transfermarkt.com/fc-girona/startseite/verein/12321,2,2,11400000,152
Dynamo Moscow,121,https://www.transfermarkt.com/dinamo-moskau/startseite/verein/121,2,2,11000000,152
RSC Anderlecht,58,https://www.transfermarkt.com/rsc-anderlecht/startseite/verein/58,2,2,11000000,152
Deportivo Toluca,1804,https://www.transfermarkt.com/deportivo-toluca/startseite/verein/1804,2,1,10800000,152
Atlanta United FC,51663,https://www.transfermarkt.com/atlanta-united-fc/startseite/verein/51663,2,1,10000000,152
Middlesbrough FC,641,https://www.transfermarkt.com/fc-middlesbrough/startseite/verein/641,2,2,9500000,152
Viking FK,239,https://www.transfermarkt.com/viking-stavanger/startseite/verein/239,2,2,9500000,152
Panathinaikos,265,https://www.transfermarkt.com/panathinaikos-athen/startseite/verein/265,2,2,9000000,152
Sint-Truidense VV,475,https://www.transfermarkt.com/vv-st-truiden/startseite/verein/475,2,1,8800000,152
Celta de Vigo,940,https://www.transfermarkt.com/celta-vigo/startseite/verein/940,2,2,8000000,152
GNK Dinamo Zagreb,419,https://www.transfermarkt.com/gnk-dinamo-zagreb/startseite/verein/419,2,2,8000000,152
AS Saint-Étienne,618,https://www.transfermarkt.com/as-saint-etienne/startseite/verein/618,2,2,7800000,152
Olympiacos Piraeus,683,https://www.transfermarkt.com/olympiakos-piraus/startseite/verein/683,2,2,7500000,152
Red Star Belgrade,159,https://www.transfermarkt.com/roter-stern-belgrad/startseite/verein/159,2,2,7500000,152
Sheffield United,350,https://www.transfermarkt.com/sheffield-united/startseite/verein/350,2,2,7000000,152
Standard Liège,3057,https://www.transfermarkt.com/standard-luttich/startseite/verein/3057,2,2,7000000,152
Bröndby IF,206,https://www.transfermarkt.com/brondby-if/startseite/verein/206,2,2,6700000,152
Columbus Crew,813,https://www.transfermarkt.com/columbus-crew-sc/startseite/verein/813,2,2,6500000,152
Derby County,22,https://www.transfermarkt.com/derby-county/startseite/verein/22,2,2,6500000,152
LASK,413,https://www.transfermarkt.com/lask/startseite/verein/413,2,2,6500000,152
Rayo Vallecano,367,https://www.transfermarkt.com/rayo-vallecano/startseite/verein/367,2,2,6000000,152
Philadelphia Union,25467,https://www.transfermarkt.com/philadelphia-union/startseite/verein/25467,2,2,5000000,152
Southampton FC,180,https://www.transfermarkt.com/fc-southampton/startseite/verein/180,2,2,5000000,152
US Cremonese,2239,https://www.transfermarkt.com/us-cremonese/startseite/verein/2239,2,2,4600000,152
Wrexham AFC,1112,https://www.transfermarkt.com/afc-wrexham/startseite/verein/1112,2,2,4500000,152
PAOK Thessaloniki,1091,https://www.transfermarkt.com/paok-thessaloniki/startseite/verein/1091,2,2,4200000,152
FC Lugano,2790,https://www.transfermarkt.com/fc-lugano/startseite/verein/2790,2,2,4000000,152
Hannover 96,42,https://www.transfermarkt.com/hannover-96/startseite/verein/42,2,2,4000000,152
NEC Nijmegen,467,https://www.transfermarkt.com/nec-nijmegen/startseite/verein/467,2,2,3500000,152
Al-Ettifaq FC,7732,https://www.transfermarkt.com/al-ettifaq/startseite/verein/7732,2,2,3400000,152
Kashima Antlers,2241,https://www.transfermarkt.com/kashima-antlers/startseite/verein/2241,2,2,3200000,152
Al-Bataeh CSC,78312,https://www.transfermarkt.com/al-bataeh-club/startseite/verein/78312,2,2,2900000,152
FC Schalke 04,33,https://www.transfermarkt.com/fc-schalke-04/startseite/verein/33,2,1,2800000,152
Sport Club Internacional,6600,https://www.transfermarkt.com/sc-internacional-porto-alegre/startseite/verein/6600,2,2,2800000,152
CD Castellón,2502,https://www.transfermarkt.com/cd-castellon/startseite/verein/2502,2,2,2400000,152
CA Huracán,2063,https://www.transfermarkt.com/club-atletico-huracan/startseite/verein/2063,2,1,2300000,152
Esperance Tunis,3342,https://www.transfermarkt.com/esperance-tunis/startseite/verein/3342,2,2,2300000,152
Ulsan HD FC,3535,https://www.transfermarkt.com/ulsan-hyundai/startseite/verein/3535,2,1,2250000,152
LDU Quito,9855,https://www.transfermarkt.com/ldu-quito/startseite/verein/9855,2,2,2100000,152
Club Africain,819,https://www.transfermarkt.com/club-africain-tunis/startseite/verein/819,2,1,2000000,152
Kalba FC,38040,https://www.transfermarkt.com/al-ittihad-kalba-sports-club/startseite/verein/38040,2,1,2000000,152
CA Independiente,1234,https://www.transfermarkt.com/club-atletico-independiente/startseite/verein/1234,2,2,1950000,152
FC Volendam,724,https://www.transfermarkt.com/fc-volendam/startseite/verein/724,2,1,1950000,152
Nasaf Qarshi,20591,https://www.transfermarkt.com/nasaf-qarshi/startseite/verein/20591,2,1,1950000,152
USM Alger,6772,https://www.transfermarkt.com/usm-algier/startseite/verein/6772,2,1,1850000,152
Al-Najma SC,32328,https://www.transfermarkt.com/al-najma/startseite/verein/32328,2,2,1750000,152
Zed FC,47010,https://www.transfermarkt.com/zed-fc/startseite/verein/47010,2,1,1750000,152
Dibba SCC,44289,https://www.transfermarkt.com/dibba-al-fujairah/startseite/verein/44289,2,2,1700000,152
AE Kifisia,30120,https://www.transfermarkt.com/ae-kifisias/startseite/verein/30120,2,2,1600000,152
FCV Dender EH,9010,https://www.transfermarkt.com/fcv-dender-eh/startseite/verein/9010,2,2,1600000,152
Grêmio Foot-Ball Porto Alegrense,210,https://www.transfermarkt.com/gremio-porto-alegre/startseite/verein/210,2,2,1600000,152
CD Universidad Católica,17584,https://www.transfermarkt.com/cd-universidad-catolica/startseite/verein/17584,2,1,1550000,152
Deportivo Saprissa,4720,https://www.transfermarkt.com/deportivo-saprissa/startseite/verein/4720,2,1,1350000,152
Maccabi Haifa,1064,https://www.transfermarkt.com/maccabi-haifa/startseite/verein/1064,2,2,1150000,152
Dinamo Samarqand,15300,https://www.transfermarkt.com/dinamo-samarkand/startseite/verein/15300,2,1,1100000,152
San Diego FC,114977,https://www.transfermarkt.com/san-diego-fc/startseite/verein/114977,2,2,1100000,152
AE Larisa,4603,https://www.transfermarkt.com/ae-larisa/startseite/verein/4603,2,1,1000000,152
AEL Limassol,786,https://www.transfermarkt.com/ael-limassol/startseite/verein/786,2,2,1000000,152
Foolad FC,6076,https://www.transfermarkt.com/foolad-fc/startseite/verein/6076,2,1,800000,152
SC Telstar,1434,https://www.transfermarkt.com/sc-telstar/startseite/verein/1434,2,1,775000,152
RKC Waalwijk,235,https://www.transfermarkt.com/rkc-waalwijk/startseite/verein/235,2,1,725000,152
Selangor FC,15831,https://www.transfermarkt.com/selangor-fc/startseite/verein/15831,2,1,675000,152
FC Tokyo,6631,https://www.transfermarkt.com/fc-tokyo/startseite/verein/6631,2,2,600000,152
NK Maribor,790,https://www.transfermarkt.com/nk-maribor/startseite/verein/790,2,2,600000,152
Club Cerro Porteño,1214,https://www.transfermarkt.com/club-cerro-porteno/startseite/verein/1214,2,1,500000,152
Igdir FK,74664,https://www.transfermarkt.com/76-igdir-belediye-spor/startseite/verein/74664,2,2,450000,152
Al-Wehdat SC,15796,https://www.transfermarkt.com/al-wehdat/startseite/verein/15796,2,1,400000,152
FC Vizela,6912,https://www.transfermarkt.com/fc-vizela/startseite/verein/6912,2,1,400000,152
Miami FC,42814,https://www.transfermarkt.com/miami-fc/startseite/verein/42814,2,1,350000,152
CD Plaza Amador,20960,https://www.transfermarkt.com/cd-plaza-amador/startseite/verein/20960,2,1,125000,152
Botafogo de Futebol e Regatas,537,https://www.transfermarkt.com/botafogo-rio-de-janeiro/startseite/verein/537,1,1,32000000,235
Clube de Regatas Vasco da Gama,978,https://www.transfermarkt.com/vasco-da-gama-rio-de-janeiro/startseite/verein/978,1,1,11000000,235
Al-Jazira Club,2524,https://www.transfermarkt.com/al-jazira-abu-dhabi-/startseite/verein/2524,1,1,10000000,235
Ipswich Town,677,https://www.transfermarkt.com/ipswich-town/startseite/verein/677,1,1,10000000,235
Stade Reims,1421,https://www.transfermarkt.com/stade-reims/startseite/verein/1421,1,1,10000000,235
Elche CF,1531,https://www.transfermarkt.com/fc-elche/startseite/verein/1531,1,1,9000000,235
Fluminense Football Club,2462,https://www.transfermarkt.com/fluminense-rio-de-janeiro/startseite/verein/2462,1,1,8000000,235
Santos FC,221,https://www.transfermarkt.com/fc-santos/startseite/verein/221,1,1,8000000,235
Lokomotiv Moscow,932,https://www.transfermarkt.com/lokomotiv-moskau/startseite/verein/932,1,1,7500000,235
Red Bull Bragantino,8793,https://www.transfermarkt.com/red-bull-bragantino/startseite/verein/8793,1,1,7500000,235
AEK Athens,2441,https://www.transfermarkt.com/aek-athen/startseite/verein/2441,1,1,7000000,235
FC Toulouse,415,https://www.transfermarkt.com/fc-toulouse/startseite/verein/415,1,1,7000000,235
Hellas Verona,276,https://www.transfermarkt.com/hellas-verona/startseite/verein/276,1,1,7000000,235
Sport Club Corinthians Paulista,199,https://www.transfermarkt.com/corinthians-sao-paulo/startseite/verein/199,1,1,7000000,235
ACF Fiorentina,430,https://www.transfermarkt.com/ac-florenz/startseite/verein/430,1,1,6500000,235
FC Twente Enschede,317,https://www.transfermarkt.com/fc-twente-enschede/startseite/verein/317,1,1,6500000,235
CA San Lorenzo de Almagro,1775,https://www.transfermarkt.com/club-atletico-san-lorenzo-de-almagro/startseite/verein/1775,1,1,6000000,235
São Paulo Futebol Clube,585,https://www.transfermarkt.com/fc-sao-paulo/startseite/verein/585,1,1,6000000,235
CA Rosario Central,1418,https://www.transfermarkt.com/club-atletico-rosario-central/startseite/verein/1418,1,1,5500000,235
Frosinone Calcio,8970,https://www.transfermarkt.com/frosinone-calcio/startseite/verein/8970,1,1,5500000,235
CA Boca Juniors,189,https://www.transfermarkt.com/club-atletico-boca-juniors/startseite/verein/189,1,1,5000000,235
Cercle Brugge ,520,https://www.transfermarkt.com/cercle-brugge/startseite/verein/520,1,1,5000000,235
Club Athletico Paranaense,679,https://www.transfermarkt.com/club-athletico-paranaense/startseite/verein/679,1,1,5000000,235
FC Slovan Liberec,697,https://www.transfermarkt.com/fc-slovan-liberec/startseite/verein/697,1,1,5000000,235
Racing Santander,630,https://www.transfermarkt.com/racing-santander/startseite/verein/630,1,1,5000000,235
Samsunspor,152,https://www.transfermarkt.com/samsunspor/startseite/verein/152,1,1,5000000,235
